,img,animacy,style,img_name,verb
0,/static/object_pics/drawing_sea/octopus.jpg,animate,drawing,octopus.jpg,press
1,/static/object_pics/picture_veggie/pumpkin.jpg,inanimate,photo,pumpkin.jpg,destroy
2,/static/object_pics/drawing_fruit/apricot.jpg,inanimate,drawing,apricot.jpg,multiply
3,/static/object_pics/drawing_mammal/antelope.jpg,animate,drawing,antelope.jpg,spin
4,/static/object_pics/drawing_fruit/lemon.jpg,inanimate,drawing,lemon.jpg,fit
5,/static/object_pics/picture_sea/seahorse.jpg,animate,photo,seahorse.jpg,break
6,/static/object_pics/picture_veggie/aubergine.jpg,inanimate,photo,aubergine.jpg,spray
7,/static/object_pics/drawing_insect/spider.jpg,animate,drawing,spider.jpg,melt
8,/static/object_pics/drawing_bird/parrot.jpg,animate,drawing,parrot.jpg,chain
9,/static/object_pics/drawing_electronic/handmixer.jpg,inanimate,drawing,handmixer.jpg,move
10,/static/object_pics/picture_fruit/orange.jpg,inanimate,photo,orange.jpg,agitate
11,/static/object_pics/picture_veggie/garlic.jpg,inanimate,photo,garlic.jpg,dig
12,/static/object_pics/picture_mammal/giraffe.jpg,animate,photo,giraffe.jpg,spread
13,/static/object_pics/drawing_electronic/microphone.jpg,inanimate,drawing,microphone.jpg,fade
14,/static/object_pics/drawing_veggie/beetroot.jpg,inanimate,drawing,beetroot.jpg,volley
15,/static/object_pics/drawing_sea/seaturtle.jpg,animate,drawing,seaturtle.jpg,expand
16,/static/object_pics/drawing_fruit/strawberry.jpg,inanimate,drawing,strawberry.jpg,swim
17,/static/object_pics/drawing_mammal/bear.jpg,animate,drawing,bear.jpg,draw
18,/static/object_pics/drawing_clothe/hoodie.jpg,inanimate,drawing,hoodie.jpg,drill
19,/static/object_pics/picture_mammal/rabbit.jpg,animate,photo,rabbit.jpg,give
20,/static/object_pics/picture_veggie/cauliflower.jpg,inanimate,photo,cauliflower.jpg,warm
21,/static/object_pics/picture_clothe/tie.jpg,inanimate,photo,tie.jpg,revolve
22,/static/object_pics/picture_sea/pufferfish.jpg,animate,photo,pufferfish.jpg,match
23,/static/object_pics/drawing_clothe/dress.jpg,inanimate,drawing,dress.jpg,utilize
24,/static/object_pics/picture_insect/mantis.jpg,animate,photo,mantis.jpg,plant
25,/static/object_pics/drawing_insect/mosquito.jpg,animate,drawing,mosquito.jpg,forge
26,/static/object_pics/picture_clothe/shirt.jpg,inanimate,photo,shirt.jpg,pump
27,/static/object_pics/picture_bird/ostrich.jpg,animate,photo,ostrich.jpg,scratch
28,/static/object_pics/picture_electronic/calculator.jpg,inanimate,photo,calculator.jpg,tear
29,/static/object_pics/drawing_clothe/scarf.jpg,inanimate,drawing,scarf.jpg,adjusted
30,/static/object_pics/drawing_sea/shrimp.jpg,animate,drawing,shrimp.jpg,cross
31,/static/object_pics/drawing_clothe/sock.jpg,inanimate,drawing,sock.jpg,smash
32,/static/object_pics/picture_sea/killer whale.jpg,animate,photo,killer whale.jpg,jump
33,/static/object_pics/picture_sea/swordfish.jpg,animate,photo,swordfish.jpg,clap
34,/static/object_pics/drawing_bird/owl.jpg,animate,drawing,owl.jpg,explode
35,/static/object_pics/drawing_fruit/cherry.jpg,inanimate,drawing,cherry.jpg,kick
36,/static/object_pics/drawing_electronic/satellite dish.jpg,inanimate,drawing,satellite dish.jpg,bump
37,/static/object_pics/drawing_electronic/keyboard.jpg,inanimate,drawing,keyboard.jpg,locate
38,/static/object_pics/drawing_fruit/coconut.jpg,inanimate,drawing,coconut.jpg,pat
39,/static/object_pics/picture_fruit/banana.jpg,inanimate,photo,banana.jpg,rub
40,/static/object_pics/drawing_sea/starfish.jpg,animate,drawing,starfish.jpg,hop
41,/static/object_pics/picture_electronic/computer mouse.jpg,inanimate,photo,computer mouse.jpg,divide
42,/static/object_pics/picture_insect/ladybug.jpg,animate,photo,ladybug.jpg,tie
43,/static/object_pics/picture_mammal/lion.jpg,animate,photo,lion.jpg,inject
44,/static/object_pics/drawing_fruit/apple.jpg,inanimate,drawing,apple.jpg,touch
45,/static/object_pics/picture_bird/canary.jpg,animate,photo,canary.jpg,deposit
46,/static/object_pics/drawing_fruit/watermelon.jpg,inanimate,drawing,watermelon.jpg,copy
47,/static/object_pics/picture_bird/eagle.jpg,animate,photo,eagle.jpg,balance
48,/static/object_pics/picture_veggie/tomato.jpg,inanimate,photo,tomato.jpg,wipe
49,/static/object_pics/picture_veggie/cucumber.jpg,inanimate,photo,cucumber.jpg,clean
50,/static/object_pics/drawing_fruit/melon.jpg,inanimate,drawing,melon.jpg,flash
51,/static/object_pics/picture_bird/hummingbird.jpg,animate,photo,hummingbird.jpg,brush
52,/static/object_pics/drawing_veggie/carrots.jpg,inanimate,drawing,carrots.jpg,whirl
53,/static/object_pics/picture_sea/shark.jpg,animate,photo,shark.jpg,grind
54,/static/object_pics/drawing_electronic/radio.jpg,inanimate,drawing,radio.jpg,fall
55,/static/object_pics/picture_bird/toucan.jpg,animate,photo,toucan.jpg,discover
56,/static/object_pics/drawing_electronic/coffee maker.jpg,inanimate,drawing,coffee maker.jpg,crush
57,/static/object_pics/drawing_insect/snail.jpg,animate,drawing,snail.jpg,guide
58,/static/object_pics/picture_veggie/pepper.jpg,inanimate,photo,pepper.jpg,punch
59,/static/object_pics/drawing_bird/vulture.jpg,animate,drawing,vulture.jpg,splash
60,/static/object_pics/drawing_insect/butterfly.jpg,animate,drawing,butterfly.jpg,lay
61,/static/object_pics/picture_sea/piranha.jpg,animate,photo,piranha.jpg,attach
62,/static/object_pics/drawing_insect/dragonfly.jpg,animate,drawing,dragonfly.jpg,fold
63,/static/object_pics/drawing_mammal/elephant.jpg,animate,drawing,elephant.jpg,smooth
64,/static/object_pics/picture_clothe/hat.jpg,inanimate,photo,hat.jpg,combine
65,/static/object_pics/drawing_insect/worm.jpg,animate,drawing,worm.jpg,deliver
66,/static/object_pics/picture_clothe/sport t-shirt.jpg,inanimate,photo,sport t-shirt.jpg,throw
67,/static/object_pics/picture_veggie/asparagus.jpg,inanimate,photo,asparagus.jpg,assemble
68,/static/object_pics/picture_fruit/pear.jpg,inanimate,photo,pear.jpg,trap
69,/static/object_pics/picture_clothe/glasses.jpg,inanimate,photo,glasses.jpg,dance
70,/static/object_pics/picture_bird/flamingo.jpg,animate,photo,flamingo.jpg,merge
71,/static/object_pics/picture_bird/pelican.jpg,animate,photo,pelican.jpg,push
72,/static/object_pics/drawing_insect/scorpion.jpg,animate,drawing,scorpion.jpg,bury
73,/static/object_pics/drawing_mammal/sheep.jpg,animate,drawing,sheep.jpg,shift
74,/static/object_pics/picture_sea/jellyfish.jpg,animate,photo,jellyfish.jpg,cover
75,/static/object_pics/picture_bird/pigeon.jpg,animate,photo,pigeon.jpg,cut
76,/static/object_pics/drawing_mammal/wolf.jpg,animate,drawing,wolf.jpg,lift
77,/static/object_pics/drawing_insect/bumble bee.jpg,animate,drawing,bumble bee.jpg,browse
78,/static/object_pics/picture_bird/penguin.jpg,animate,photo,penguin.jpg,hit
79,/static/object_pics/drawing_veggie/corn.jpg,inanimate,drawing,corn.jpg,circle
80,/static/object_pics/picture_electronic/remote control.jpg,inanimate,photo,remote control.jpg,wrap
81,/static/object_pics/picture_electronic/hairdryer.jpg,inanimate,photo,hairdryer.jpg,reduce
82,/static/object_pics/picture_sea/mantaray.jpg,animate,photo,mantaray.jpg,pick
83,/static/object_pics/picture_mammal/kangaroo.jpg,animate,photo,kangaroo.jpg,peek
84,/static/object_pics/drawing_fruit/kiwi.jpg,inanimate,drawing,kiwi.jpg,squeeze
85,/static/object_pics/drawing_insect/centipede.jpg,animate,drawing,centipede.jpg,decorate
86,/static/object_pics/picture_bird/hen.jpg,animate,photo,hen.jpg,split
87,/static/object_pics/drawing_mammal/camel.jpg,animate,drawing,camel.jpg,knock
88,/static/object_pics/picture_clothe/bowtie.jpg,inanimate,photo,bowtie.jpg,detect
89,/static/object_pics/drawing_electronic/camera.jpg,inanimate,drawing,camera.jpg,arrange
90,/static/object_pics/drawing_electronic/toaster.jpg,inanimate,drawing,toaster.jpg,blur
91,/static/object_pics/drawing_clothe/belt.jpg,inanimate,drawing,belt.jpg,stick
92,/static/object_pics/picture_sea/seal.jpg,animate,photo,seal.jpg,connect
93,/static/object_pics/drawing_electronic/laptop.jpg,inanimate,drawing,laptop.jpg,pull
94,/static/object_pics/drawing_electronic/gamepad.jpg,inanimate,drawing,gamepad.jpg,drop
95,/static/object_pics/picture_fruit/pineapple.jpg,inanimate,photo,pineapple.jpg,wash
