,img,instruction,block_n,animacy,style,img_name,verb
0,/static/object_pics/picture_electronic/keyboard.jpg,perceptual,0,inanimate,photo,keyboard.jpg,join
1,/static/object_pics/picture_veggie/onions.jpg,perceptual,0,inanimate,photo,onions.jpg,bring
2,/static/object_pics/picture_electronic/microphone.jpg,semantic,0,inanimate,photo,microphone.jpg,hammer
3,/static/object_pics/picture_sea/seahorse.jpg,perceptual,0,animate,photo,seahorse.jpg,utilize
4,/static/object_pics/drawing_bird/owl.jpg,semantic,0,animate,drawing,owl.jpg,grind
5,/static/object_pics/drawing_electronic/radio.jpg,semantic,0,inanimate,drawing,radio.jpg,tie
6,/static/object_pics/drawing_insect/fly.jpg,perceptual,0,animate,drawing,fly.jpg,plant
7,/static/object_pics/picture_bird/ostrich.jpg,semantic,0,animate,photo,ostrich.jpg,lay
8,/static/object_pics/picture_electronic/microphone.jpg,perceptual,0,inanimate,photo,microphone.jpg,hammer
9,/static/object_pics/picture_electronic/keyboard.jpg,semantic,0,inanimate,photo,keyboard.jpg,join
10,/static/object_pics/picture_veggie/onions.jpg,semantic,0,inanimate,photo,onions.jpg,bring
11,/static/object_pics/picture_sea/seahorse.jpg,semantic,0,animate,photo,seahorse.jpg,utilize
12,/static/object_pics/drawing_bird/owl.jpg,perceptual,0,animate,drawing,owl.jpg,grind
13,/static/object_pics/drawing_electronic/radio.jpg,perceptual,0,inanimate,drawing,radio.jpg,tie
14,/static/object_pics/picture_bird/ostrich.jpg,perceptual,0,animate,photo,ostrich.jpg,lay
15,/static/object_pics/drawing_insect/fly.jpg,semantic,0,animate,drawing,fly.jpg,plant
16,/static/object_pics/picture_insect/dragonfly.jpg,semantic,1,animate,photo,dragonfly.jpg,splash
17,/static/object_pics/picture_veggie/corn.jpg,semantic,1,inanimate,photo,corn.jpg,locate
18,/static/object_pics/picture_veggie/artichoke.jpg,semantic,1,inanimate,photo,artichoke.jpg,bump
19,/static/object_pics/drawing_insect/ant.jpg,perceptual,1,animate,drawing,ant.jpg,expand
20,/static/object_pics/drawing_electronic/satellite dish.jpg,perceptual,1,inanimate,drawing,satellite dish.jpg,paint
21,/static/object_pics/picture_fruit/watermelon.jpg,perceptual,1,inanimate,photo,watermelon.jpg,fall
22,/static/object_pics/drawing_fruit/pomegranate.jpg,perceptual,1,inanimate,drawing,pomegranate.jpg,build
23,/static/object_pics/drawing_bird/vulture.jpg,semantic,1,animate,drawing,vulture.jpg,deposit
