success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,key,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,question_order,exp,subjectId,date
True,fullscreen,0,7252,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0059,2022-12-08 21:49:30
True,preload,1,12075,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0059,2022-12-08 21:49:30
,html-keyboard-response,2,62434,0.0-2.0,,,,,50357.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,3,67657,0.0-3.0,,,,,1452.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,758.8509318999752,True,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,4,72758,0.0-4.0,,,,,723.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,1357.3462250396224,False,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,5,77854,0.0-5.0,,,,,698.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,1383.711633748415,False,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,6,82823,0.0-6.0,,,,,1202.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,751.6574231802076,True,,MEM,MEM_0059,2022-12-08 21:49:30
,survey-multi-choice,7,90974,0.0-7.0-0.0,,,,,8149.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0059,2022-12-08 21:49:30
,html-keyboard-response,8,95689,0.0-8.0,,,,,4710.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0059,2022-12-08 21:49:30
True,fullscreen,9,101277,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,10,106673,0.0-10.0,,,,,1214.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_bird/owl.jpg,7000.0,animate,drawing,1154.6437767112761,True,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,11,111617,0.0-11.0,,,,,797.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_insect/mosquito.jpg,7000.0,animate,photo,1131.328019497059,True,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,12,116283,0.0-12.0,,,,,574.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_veggie/cucumber.jpg,7000.0,inanimate,drawing,1080.6091514728319,True,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,13,121394,0.0-13.0,,,,,933.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_fruit/lemon.jpg,7000.0,inanimate,photo,1161.9281304456176,True,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,14,126579,0.0-14.0,,,,,1231.0,,,arrowright,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_clothe/bowtie.jpg,7000.0,inanimate,drawing,929.0467873230346,True,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,15,131483,0.0-15.0,,,,,919.0,,,arrowleft,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_fruit/melon.jpg,7000.0,inanimate,photo,968.1927801448516,True,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,16,135788,0.0-16.0,,,,,727.0,,,arrowright,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_sea/shrimp.jpg,7000.0,animate,drawing,567.1714596670852,True,,MEM,MEM_0059,2022-12-08 21:49:30
,visual-trial,17,140159,0.0-17.0,,,,,642.0,,,arrowleft,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_mammal/bull.jpg,7000.0,animate,photo,713.4702579579839,True,,MEM,MEM_0059,2022-12-08 21:49:30
