success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,key,question_order,exp,subjectId,date
True,fullscreen,0,4379,0.0-0.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0071,2022-12-08 22:19:04
True,preload,1,18707,0.0-1.0,False,[],[],[],,,,,,,,,,,,,,,,MEM,MEM_0071,2022-12-08 22:19:04
,html-keyboard-response,2,70534,0.0-2.0,,,,,51822.0,"
      <p>In this task, you will see a series of objects. On some trials, your job is to determine
      whether the object shown is a color photograph or a line drawing. On other trials, your job
      is to determine whether the object represented is animate or inanimate.

      <br><br>
      You will know which response to make depending on the initial display, which will say
      ""animate / inanimate"" or ""photo / drawing"".
      <br>
      <br>
      You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
      <br>
      Please respond as quickly as possible, and use your dominant hand to make your responses.
      <br><br>
      <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
      <br>
      In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
      <br>
      <br>You will first do some practice trials. When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,3,81302,0.0-3.0,,,,,,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_bird/heron.jpg,7000.0,animate,drawing,735.6339123249613,False,,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,4,89905,0.0-4.0,,,,,4209.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_electronic/flashlight.jpg,7000.0,inanimate,photo,1377.0453906890796,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,5,94742,0.0-5.0,,,,,585.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,7000.0,inanimate,drawing,1237.0092125934661,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,6,99786,0.0-6.0,,,,,1108.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,7000.0,inanimate,photo,912.493253919247,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,survey-multi-choice,7,117730,0.0-7.0-0.0,,,,,17941.0,,"{'Style': 'True', 'Animacy': 'True'}",,,,,,,,,,,,"[0, 1]",MEM,MEM_0071,2022-12-08 22:19:04
,html-keyboard-response,8,122398,0.0-8.0,,,,,4658.0,"
      <p>Great job! Now you'll continue onto doing the main task.
      You will have the opportunity to take brief breaks at various points.
      Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,MEM,MEM_0071,2022-12-08 22:19:04
True,fullscreen,9,129845,0.0-9.0,,,,,,,,,,,,,,,,,,,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,10,136135,0.0-10.0,,,,,2138.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_mammal/horse.jpg,7000.0,animate,photo,1133.7456065389713,False,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
